,enemy,gen,metric_max,metric_avg,method
299,3,49,94.32256843934148,83.22346049092643,Cellular-ES
300,3,0,88.73043106081629,9.018991366331031,Cellular-ES
301,3,1,88.73043106081629,15.074866552844062,Cellular-ES
302,3,2,88.73043106081629,20.29049611258818,Cellular-ES
303,3,3,88.73043106081629,25.326430729993945,Cellular-ES
304,3,4,91.28581399532747,29.6527499126193,Cellular-ES
305,3,5,91.48250216264168,34.77326515314451,Cellular-ES
306,3,6,91.48250216264168,38.73762230913396,Cellular-ES
307,3,7,91.48250216264168,42.05627257543967,Cellular-ES
308,3,8,91.48250216264168,46.022886227807746,Cellular-ES
309,3,9,91.48250216264168,50.1828529478582,Cellular-ES
310,3,10,91.48250216264168,53.49875579985685,Cellular-ES
311,3,11,91.48250216264168,55.8064087406654,Cellular-ES
312,3,12,91.48250216264168,57.6930445746918,Cellular-ES
313,3,13,91.48250216264168,59.41511643229093,Cellular-ES
314,3,14,91.48250216264168,60.96116949523905,Cellular-ES
315,3,15,91.48250216264168,62.62992106486301,Cellular-ES
316,3,16,91.48250216264168,64.76686944360252,Cellular-ES
317,3,17,93.72877548112479,65.8081360571737,Cellular-ES
318,3,18,93.72877548112479,67.4316272109641,Cellular-ES
319,3,19,93.72877548112479,68.34368107226945,Cellular-ES
320,3,20,93.72877548112479,69.74467892966398,Cellular-ES
321,3,21,93.72877548112479,70.7487748163058,Cellular-ES
322,3,22,93.72877548112479,71.745938614002,Cellular-ES
323,3,23,93.72877548112479,73.35792612976729,Cellular-ES
324,3,24,93.72877548112479,74.64681553372706,Cellular-ES
325,3,25,93.72877548112479,75.63643974042772,Cellular-ES
326,3,26,93.72877548112479,76.62361507371068,Cellular-ES
327,3,27,93.72877548112479,77.01856639947455,Cellular-ES
328,3,28,93.72877548112479,78.1180476811298,Cellular-ES
329,3,29,93.72877548112479,78.52156051064141,Cellular-ES
330,3,30,93.92369932809292,79.94524476348076,Cellular-ES
331,3,31,93.92369932809292,80.23497386340529,Cellular-ES
332,3,32,93.92369932809292,80.54351286050064,Cellular-ES
333,3,33,93.92369932809292,80.95256647648868,Cellular-ES
334,3,34,93.92369932809292,81.19975376823429,Cellular-ES
335,3,35,93.92369932809292,81.39332643537625,Cellular-ES
336,3,36,93.92369932809292,82.04084858408241,Cellular-ES
337,3,37,94.12623418369611,82.45309921385781,Cellular-ES
338,3,38,94.12623418369611,83.28991359204726,Cellular-ES
339,3,39,94.12623418369611,83.62782521923174,Cellular-ES
340,3,40,94.12623418369611,83.7495429480438,Cellular-ES
341,3,41,94.13132325320358,84.26924140165028,Cellular-ES
342,3,42,94.13132325320358,84.68931449990217,Cellular-ES
343,3,43,94.13132325320358,85.05312035849092,Cellular-ES
344,3,44,94.13132325320358,85.28052156700775,Cellular-ES
345,3,45,94.13132325320358,85.51715429582023,Cellular-ES
346,3,46,94.13132325320358,85.77428541635541,Cellular-ES
347,3,47,94.13132325320358,86.04034178923385,Cellular-ES
348,3,48,94.13132325320358,86.51912732560108,Cellular-ES
349,3,49,94.13132325320358,86.53451986403884,Cellular-ES
350,3,0,77.18669296751101,7.951510362417832,Cellular-ES
351,3,1,88.16918704999739,13.697255629944383,Cellular-ES
352,3,2,88.16918704999739,18.41581045304931,Cellular-ES
353,3,3,88.72877548112479,23.661997775857156,Cellular-ES
354,3,4,88.72877548112479,28.35844435081727,Cellular-ES
355,3,5,88.72877548112479,32.74841200909323,Cellular-ES
356,3,6,88.72877548112479,35.87782936199695,Cellular-ES
357,3,7,88.72877548112479,39.39717905611152,Cellular-ES
358,3,8,89.16399101479087,43.5550121158972,Cellular-ES
359,3,9,89.16399101479087,46.169511516998405,Cellular-ES
360,3,10,89.16399101479087,48.87722655686183,Cellular-ES
